Id,Title,Description,Item_Group_Id,Availability,Condition,Price,Sale_Price,Image_Link,Gtin,Product_Type,Brand,Link
RT32K5030S8/ES,"RT32K5030S8 com Twin Cooling Plus&trade;, 320 L","O  sistema Twin Cooling Plus&trade;, com arrefecimento independente de cada compartimento permite que o ar fresco circule em todos os cantos do equipamento, mantendo a temperatura uniforme e  constante, de forma  a preservar os alimentos frescos com um n&iacute;vel de humidade de at&eacute; 70%, face aos 30% de um combinado convencional*. Assim, os alimentos permanecem frescos durante mais tempo.",RT32K5030S8,in stock,new,774.90 EUR,619.00 EUR,https://images.samsung.com/is/image/samsung/pt-top-mount-freezer-rt32k5030s8-rt32k5030s8-es-001-front-silver?$ORIGIN_PNG$,8806088228150,Produtos | Frigorificos | Frigorificos Duas Portas | Produtos | Eletrodomesticos | Frigorificos | Frigorificos Duas Portas,Samsung,https://shop.samsung.com/pt/Comom/REF-%3A-Refrigerator/RT32K5030S8-com-Twin-Cooling-Plus%E2%84%A2%2C-320-L/p/RT32K5030S8/ES
EP-TA845XBEGWW,Carregador R&aacute;pido 45W,,EP-TA845,in stock,new,49.90 EUR,49.90 EUR,https://images.samsung.com/is/image/samsung/pt/galaxy-note10/gallery/pt-charger-2019-power-ep-ta845xbegww-frontblack-176367649?$ORIGIN_PNG$,8806090104527,Produtos | Accessories | Acessorios Mobile,Samsung,https://shop.samsung.com/pt/Products/Accessories/Acess%C3%B3rios-Mobile/Carregador-R%C3%A1pido-45W/p/EP-TA845XBEGWW
VG-SGSM11S/XC,Tower Stand,"O Suporte Tower Samsung &eacute; concebido para ficar bem em qualquer ambiente.
A sua constru&ccedil;&atilde;o toda em metal combina perfeitamente com todos os ambientes e abrilhanta o espa&ccedil;o envolvente.
Um design circular com uma apar&ecirc;ncia elegante, mas ao mesmo tempo acolhedora.
",VG-SGSM11S,in stock,new,699.00 EUR,699.00 EUR,https://images.samsung.com/is/image/samsung/pt-tower-stand-vg-sgsm11s-vg-sgsm11s-xc-frontsilver-104535456?$ORIGIN_PNG$,8806088826479,Produtos | Accessories | TV Accessorios,Samsung,https://shop.samsung.com/pt/Comom/CTV-%3A-Color-TV/Tower-Stand/p/VG-SGSM11S/XC
VCC45W0S36/XEP,VCC45W0S36 Aspirador sem Saco,"O sistema Twin Chamber&trade; tem um compartimento para as part&iacute;culas de p&oacute; e outro para a circula&ccedil;&atilde;o de ar, permitindo melhorar a separa&ccedil;&atilde;o e remo&ccedil;&atilde;o do p&oacute;. A forte suc&ccedil;&atilde;o faz com que as part&iacute;culas de p&oacute; e detritos passem pela c&acirc;mara interior de circula&ccedil;&atilde;o de ar. Essas part&iacute;culas e detritos s&atilde;o separados do ar atrav&eacute;s da for&ccedil;a centr&iacute;fuga e colocados na c&acirc;mara exterior at&eacute; serem removidos. O p&oacute; e os res&iacute;duos recolhidos na c&acirc;mara exterior ficam impedidos de circular no ar cicl&oacute;nico da c&acirc;mara interior. Consequentemente evita-se que as part&iacute;culas de p&oacute; mais finas atinjam o filtro pr&eacute;-motor, que &eacute; a principal causa de entupimento.",SC45W0,in stock,new,114.89 EUR,99.90 EUR,https://images.samsung.com/is/image/samsung/pt-without-bag-sc45w0-vcc45w0s36-xep-frontblue-97519344?$ORIGIN_PNG$,8801643200909,Produtos | Aspirador | Aspirador sem saco | Produtos | Eletrodomesticos | Aspirador | Aspirador sem saco,Samsung,https://shop.samsung.com/pt/Comom/VC-%3A-VacuumCleaner/VCC45W0S36-Aspirador-sem-Saco/p/VCC45W0S36/XEP
DW60M6040FW/EC,DW60M6040FW M&aacute;quina de Lavar Loi&ccedil;a E,"Com o amplo ecr&atilde; LED, de f&aacute;cil leitura, pode monitorizar e controlar a lavagem da sua loi&ccedil;a. O ecr&atilde; permite verificar as configura&ccedil;&otilde;es, o tempo restante de lavagem e o progresso do ciclo. ",DW60M6040FW,in stock,new,639.90 EUR,529.00 EUR,https://images.samsung.com/is/image/samsung/pt-dishwasher-dw60m6040fw-dw60m6040fw-ec-frontwhite-70664897?$ORIGIN_PNG$,8806088922980,Produtos | Maquina de loica | Eficiencia Energetica A++ | Produtos | Eletrodomesticos | Maquina de loica | Eficiencia Energetica A++,Samsung,https://shop.samsung.com/pt/Comom/WM-%3A-WashingMachine/DW60M6040FW-M%C3%A1quina-de-Lavar-Loi%C3%A7a-A%2B%2B/p/DW60M6040FW/EC
MG23K3515AS/EC,"MG23K3515AS Micro-ondas com Grill, 23L","Com a op&ccedil;&atilde;o Grill+30seg pode gratinar os alimentos de acordo com o seu gosto, obtendo crostas crocantes, sem cozinhar os alimentos em excesso.",MG23K3515AS,in stock,new,179.90 EUR,149.00 EUR,https://images.samsung.com/is/image/samsung/pt-microwave-oven-grill-mg23k3515as-mg23k3515as-ec-Silver-196307706?$ORIGIN_PNG$,8806088219677,Produtos | Micro-ondas | Micro-ondas com Grill | Produtos | Eletrodomesticos | Micro-ondas | Micro-ondas com Grill | Produtos | Eletrodomesticos | Encastre | Micro-ondas | Micro-ondas com Grill,Samsung,https://shop.samsung.com/pt/Comom/MWO-%3A-MicroWaveOven/MG23K3515AS-Micro-ondas-com-Grill%2C-23L/p/MG23K3515AS/EC
RT50K6335S9/ES,"RT50K6335S9 Frigor&iacute;fico com Twin Cooling Plus&trade;, 504L","O Twin Cooling  Plus&trade; cria um ambiente favor&aacute;vel para preservar a comida fresca no frigor&iacute;fico com 70% de humidade, comparando com os 30% de um aparelho convencional. Mant&eacute;m os ingredientes frescos durante mais tempo.",RT50K6335S9,in stock,new,1099.90 EUR,859.00 EUR,https://images.samsung.com/is/image/samsung/pt-top-mount-freezer-rt50k6335s9-rt50k6335s9-es-001-front-silver?$ORIGIN_PNG$,8806088228129,Produtos | Frigorificos | Frigorificos Duas Portas | Produtos | Eletrodomesticos | Frigorificos | Frigorificos Duas Portas,Samsung,https://shop.samsung.com/pt/Comom/REF-%3A-Refrigerator/RT50K6335S9-Frigor%C3%ADfico-com-Twin-Cooling-Plus%E2%84%A2%2C-504L/p/RT50K6335S9/ES
VG-SCFM65WM/XC,Moldura The Frame Branca 65&quot;,,VG-SCFM65WM,in stock,new,129.99 EUR,129.99 EUR,https://images.samsung.com/is/image/samsung/pt-customizable-frame-vg-scfm65-white-vg-scfm65wm-xc-dynamicwhite-219407719?$ORIGIN_PNG$,8806088885421,Produtos | Accessories | TV Accessorios,Samsung,https://shop.samsung.com/pt/Products/Accessories/TV-Accessories/Moldura-The-Frame-Branca-65%22/p/VG-SCFM65WM/XC
VG-SCFN65BM/XC,Moldura The Frame Preta 65&quot;,,VG-SCFN65BM,in stock,new,129.99 EUR,129.99 EUR,https://images.samsung.com/is/image/samsung/pt-customizable-frame-vg-scfm65-black-vg-scfn65bm-xc-dynamicblack-219407816?$ORIGIN_PNG$,8801643276065,Produtos | Accessories | TV Accessorios,Samsung,https://shop.samsung.com/pt/Products/Accessories/TV-Accessories/Moldura-The-Frame-Preta-65%22/p/VG-SCFN65BM/XC
VG-SCFN65DP/XC,Moldura The Frame Castanha 65'',,VG-SCFN65DP,in stock,new,129.99 EUR,129.99 EUR,https://images.samsung.com/is/image/samsung/pt-customizable-frame-vg-scfm65-brown-vg-scfn65dp-xc-dynamicbrown-219408337?$ORIGIN_PNG$,8801643664695,Produtos | Accessories | TV Accessorios,Samsung,https://shop.samsung.com/pt/Products/Accessories/TV-Accessories/Moldura-The-Frame-Castanha-65%27%27/p/VG-SCFN65DP/XC
RZ32M7115S9/ES,"RZ32M7115S9 Congelador 1 Porta No Frost, 323L, F","A arca vertical tem uma grande capacidade, com as dimens&otilde;es de bancada, permitindo a integra&ccedil;&atilde;o harmoniosa na sua cozinha. ",RZ32M7115S9,in stock,new,944.90 EUR,849.00 EUR,https://images.samsung.com/is/image/samsung/pt-rr7000-rz32m7115s9-es-frontsilver-211149327?$ORIGIN_PNG$,8806088602509,Produtos | Frigorificos | Uma Porta | Produtos | Eletrodomesticos | Frigorificos | Uma Porta,Samsung,https://shop.samsung.com/pt/Comom/REF-%3A-Refrigerator/RZ32M7115S9-Congelador-1-Porta-No-Frost%2C-323L%2C-F/p/RZ32M7115S9/ES
WMN-M20EA/XC,Suporte de Parede &ldquo;No Gap&rdquo;,"Com o suporte de parede &ldquo;No Gap&rdquo; pode instalar na parede a TV QLED sem espa&ccedil;o livre entre estas. Com um est&eacute;tica apurada, integra-se de forma perfeita na sua sala de estar.",WMN-M20EA,out of stock,new,179.00 EUR,179.00 EUR,https://images.samsung.com/is/image/samsung/pt-no-gap-wall-mount-wmn-m20e-wmn-m20ea-xc-frontblack-150867066?$ORIGIN_PNG$,8806088807775,Produtos | Accessories | TV Accessorios,Samsung,https://shop.samsung.com/pt/Products/Accessories/TV-Accessories/Suporte-de-Parede-%E2%80%9CNo-Gap%E2%80%9D/p/WMN-M20EA/XC
RR39M7145S9/ES,"RR39M7145S9 Frigor&iacute;fico 1 Porta No Frost, 387 L, E","O Frigor&iacute;fico de 1 Porta tem uma grande capacidade, com as dimens&otilde;es de bancada, permitindo a integra&ccedil;&atilde;o harmoniosa na sua cozinha. ",RR39M7145S9,in stock,new,889.91 EUR,799.00 EUR,https://images.samsung.com/is/image/samsung/pt-one-door-rr39m-rr39m7145s9-es-frontsilver-211165603?$ORIGIN_PNG$,8806088602943,Produtos | Frigorificos | Uma Porta | Produtos | Eletrodomesticos | Frigorificos | Uma Porta,Samsung,https://shop.samsung.com/pt/Comom/REF-%3A-Refrigerator/RR39M7145S9-Frigor%C3%ADfico-1-Porta-No-Frost%2C-387-L%2C-E/p/RR39M7145S9/ES
VC07M25F0WP/EP,VC07M25F0WP Aspirador com Saco," O design leve do aspirador Samsung VC2500 torna-o f&aacute;cil de manobrar. Gra&ccedil;as &agrave; sua pot&ecirc;ncia suc&ccedil;&atilde;o permite um elevado n&iacute;vel de limpeza em carpetes, tapetes e pavimentos duros.",VC07M25F0WP,in stock,new,124.89 EUR,109.90 EUR,https://images.samsung.com/is/image/samsung/pt-vc2500m-vc07m25f0wp-ep-frontred-172534666?$ORIGIN_PNG$,8801643975678,Produtos | Aspirador | Aspirador com Saco | Produtos | Eletrodomesticos | Aspirador | Aspirador com Saco,Samsung,https://shop.samsung.com/pt/Comom/VC-%3A-VacuumCleaner/VC07M25F0WP-Aspirador-com-Saco/p/VC07M25F0WP/EP
DW60R7050FS/EC,DW60R7050FS M&aacute;quina de Lavar Loi&ccedil;a D,"Gra&ccedil;as ao motor Inverter, esta m&aacute;quina de loi&ccedil;a trabalha de forma mais suave e silenciosa. Conta ainda com o programa &ldquo;Silencioso&rdquo; que lava um pouco mais devagar mas gera menos 2 decib&eacute;is de ru&iacute;do do que o programa ECO**. ",DW60R7050FS,in stock,new,849.91 EUR,659.00 EUR,https://images.samsung.com/is/image/samsung/pt-dw60r7050fs-dw60r7050fs-ec-frontsilver-219762783?$ORIGIN_PNG$,8806090116971,Produtos | Maquina de loica | Eficiencia Energetica A+++ | Produtos | Eletrodomesticos | Maquina de loica | Eficiencia Energetica A+++,Samsung,https://shop.samsung.com/pt/Comom/WM-%3A-WashingMachine/DW60R7050FS-M%C3%A1quina-de-Lavar-Loi%C3%A7a-D/p/DW60R7050FS/EC
DW60R7040FW/EC,DW60R7040FW M&aacute;quina de Lavar Loi&ccedil;a D,"Gra&ccedil;as ao motor Inverter, esta m&aacute;quina de loi&ccedil;a trabalha de forma mais suave e silenciosa. Conta ainda com o programa &ldquo;Silencioso&rdquo; que lava um pouco mais devagar mas gera menos 2 decib&eacute;is de ru&iacute;do do que o programa ECO**. ",DW60R7040FW,in stock,new,749.89 EUR,569.00 EUR,https://images.samsung.com/is/image/samsung/pt-dw7500rm-dw60r7040fw-ec-frontwhite-217294244?$ORIGIN_PNG$,8806090116902,Produtos | Maquina de loica | Eficiencia Energetica A+++ | Produtos | Eletrodomesticos | Maquina de loica | Eficiencia Energetica A+++,Samsung,https://shop.samsung.com/pt/Comom/WM-%3A-WashingMachine/DW60R7040FW-M%C3%A1quina-de-Lavar-Loi%C3%A7a-D/p/DW60R7040FW/EC
LC34H890WJUXEN,34'' UHD Monitor Curvo H890,"O monitor CH89 tem uma resolu&ccedil;&atilde;o de ecr&atilde; de 3440x1440&mdash;com uma densidade de pix&eacute;is 1,7 vezes superior ao Full HD, a WQHD apresenta imagens incrivelmente detalhadas e n&iacute;tidas, proporcionando um espa&ccedil;o de trabalho mais amplo. Visualize no ecr&atilde; mais documentos e p&aacute;ginas web sem fazer scroll ou zoom.",LC34H890WJUX,out of stock,new,567.28 EUR,567.28 EUR,https://images.samsung.com/is/image/samsung/pt-uhd-lc34h890wjuxen-lc34h890wjuxen-frontblack-97734664?$ORIGIN_PNG$,8806088780795,,Samsung,https://shop.samsung.com/pt/Comom/Monitor/34%27%27-UHD-Monitor-Curvo-H890/p/LC34H890WJUXEN
LC49J890DKUXEN,49'' UHD Monitor Curvo J890,"O ecr&atilde; super amplo Samsung CJ89 de 49 polegadas oferece-lhe uma visualiza&ccedil;&atilde;o como nenhum outro.
Com um inovador r&aacute;cio de aspeto 32:9, este monitor curvo &eacute; equivalente a dois monitores de 27 polegadas, o que lhe vai permitir desfrutar de uma visualiza&ccedil;&atilde;o imersiva, flexibilidade em multi-tarefa e uma experi&ecirc;ncia de jogo simplesmente inacredit&aacute;vel.",LC49J890DKUX,out of stock,new,969.86 EUR,969.86 EUR,https://images.samsung.com/is/image/samsung/pt-uhd-lc49j890dkuxen-lc49j890dkuxen-frontblack-97728576?$ORIGIN_PNG$,8801643205317,,Samsung,https://shop.samsung.com/pt/Comom/Monitor/49%27%27-UHD-Monitor-Curvo-J890/p/LC49J890DKUXEN
SM-P615NZBAPHE,Galaxy Tab S6 Lite 4G (SM-P615),"O Galaxy Tab S6 Lite &eacute; o seu super companheiro port&aacute;til e de confian&ccedil;a para tirar notas. Tem um ecr&atilde; grande de 10,4 polegadas num design fino e leve, One UI 2 no sistema operativo Android e uma S Pen inclu&iacute;da e pronta a utilizar. Quer esteja a desenhar, a estudar ou a jogar, este &eacute; o tablet perfeito para aproveitar o momento.",SM-P615,in stock,new,479.90 EUR,439.90 EUR,https://images.samsung.com/is/image/samsung/p6pim/pt/sm-p615nzbaphe/gallery/pt-galaxy-tab-s6-lite-p615-396465-sm-p615nzbaphe-471530555?$ORIGIN_PNG$,8806090480911,Produtos | Tablets | Galaxy Tab S Series,Samsung,https://shop.samsung.com/pt/Products/Tablets/Galaxy-Tab-S-Series/Galaxy-Tab-S6-Lite-%284G%29/p/SM-P615NZBAPHE
NV75K5571RS/EC,"NV75K5571RS Forno Pirol&iacute;tico Dual Cook, 75L","A tecnologia &ldquo;Dual Cook&rdquo; d&aacute;-lhe total flexibilidade. Pode dividir o forno em dois compartimentos (superior e inferior) que podem ser utilizados de forma independente, com diferentes configura&ccedil;&otilde;es de temperatura e tempo, ou ent&atilde;o pode utilizar a totalidade do forno para pratos de grandes dimens&otilde;es.",NV75K5571RS,in stock,new,729.89 EUR,659.00 EUR,https://images.samsung.com/is/image/samsung/pt-nv75k5571rs-nv75k5571rs-ec-frontsilver-227242585?$ORIGIN_PNG$,8801643818609,Produtos | Eletrodomesticos | Encastre,Samsung,https://shop.samsung.com/pt/Comom/MWO-%3A-MicroWaveOven/NV75K5571RS-Forno-Pirol%C3%ADtico-Dual-Cook%2C-75L/p/NV75K5571RS/EC
NZ64R3747BK/UR,"NZ64R3747BK Placa de indu&ccedil;&atilde;o, Flex Zone","Cozinhe pratos grandes ou m&uacute;ltiplos mais facilmente na Zona Flex&iacute;vel. Esta &aacute;rea ampla, aberta e em forma de ret&acirc;ngulo proporciona-lhe muito mais flexibilidade. &Eacute; suficientemente espa&ccedil;osa para que possam caber v&aacute;rios tipos de utens&iacute;lios de cozinha simultaneamente, incluindo alimentos grandes e longos. Desta forma, consegue cozinhar refei&ccedil;&otilde;es familiares de forma mais f&aacute;cil e eficiente.",NZ64R3747BK,in stock,new,589.90 EUR,499.00 EUR,https://images.samsung.com/is/image/samsung/pt-nz64r3747bk-nz64r3747bk-ur-frontblack-227264804?$ORIGIN_PNG$,8806090091322,Produtos | Eletrodomesticos | Encastre,Samsung,https://shop.samsung.com/pt/Products/Home-Appliances/Encastre/NZ64R3747BK-Placa-de-indu%C3%A7%C3%A3o%2C-Flex-Zone/p/NZ64R3747BK/UR
NZ64M3707AK/UR,"NZ64M3707AK Placa de indu&ccedil;&atilde;o, 4 zonas","O Controlo T&aacute;til Deslizante extremamente amplo e intuitivo da placa permite um controlo r&aacute;pido e preciso das temperaturas de cozedura. Pode simplesmente tocar e deslizar o dedo atrav&eacute;s do painel de controlo LED para, com um simples movimento, configurar ou ajustar instantaneamente o n&iacute;vel de calor para cada zona em utiliza&ccedil;&atilde;o. 
",NZ64M3707AK,in stock,new,469.90 EUR,399.00 EUR,https://images.samsung.com/is/image/samsung/pt-nz64m3707ak--nz64m3707ak-ur-frontblack-227264882?$ORIGIN_PNG$,8806088757254,Produtos | Eletrodomesticos | Encastre,Samsung,https://shop.samsung.com/pt/Products/Home-Appliances/Encastre/NZ64M3707AK-Placa-de-indu%C3%A7%C3%A3o%2C-4-zonas/p/NZ64M3707AK/UR
MG22M8074CT/EC,"MG22M8074CT Micro-ondas Grill de Encastre, 22L","Ao premir um bot&atilde;o, o Sensor Inteligente de Humidade determina a humidade do ar interior, pelo que o modo e o tempo de cozedura podem ser ajustados automaticamente para garantir que as refei&ccedil;&otilde;es sejam sempre cozinhadas na perfei&ccedil;&atilde;o. ",MG22M8074CT,in stock,new,389.90 EUR,389.90 EUR,https://images.samsung.com/is/image/samsung/pt-mg22m8074ct-mg22m8074ct-ec-frontsilver-227242690?$ORIGIN_PNG$,8801643757595,Produtos | Eletrodomesticos | Encastre,Samsung,https://shop.samsung.com/pt/Comom/MWO-%3A-MicroWaveOven/MG22M8074CT-Micro-ondas-Grill-de-Encastre%2C-22L/p/MG22M8074CT/EC
NV75N5671RS/EC,"NV75N5671RS Forno Pirol&iacute;tico Dual Cook Flex, 75L","Desfrute de total flexibilidade para cozinhar v&aacute;rios pratos com a porta flex&iacute;vel. Abra a parte superior e utilize apenas este compartimento para preparar refei&ccedil;&otilde;es pequenas. Aceda tamb&eacute;m facilmente ao compartimento superior ao cozinhar alimentos diferentes, evitando a perda de calor no compartimento inferior. Ou abra completamente a porta para utilizar a totalidade do forno.",NV75N5671RS,in stock,new,839.91 EUR,759.00 EUR,https://images.samsung.com/is/image/samsung/pt-nv7000n-with-flexible-door-nv75n5671rs-ec-frontsilver-237162998?$ORIGIN_PNG$,8801643818616,Produtos | Eletrodomesticos | Encastre,Samsung,https://shop.samsung.com/pt/Products/Home-Appliances/Encastre/NV75N5671RS-Forno-Pirol%C3%ADtico-Dual-Cook-Flex%2C-75L/p/NV75N5671RS/EC
