Id,Title,Description,Availability,Condition,Price,Sale_Price,Image_Link,Gtin,Product_Type,Brand,Link
VG-SOCM15/XC,Cable &Oacute;ptico Casi Invisible de 15 metros,"Saca el m&aacute;ximo provecho a tu espacio. Con un &uacute;nico cable &oacute;ptico, pr&aacute;cticamente invisible, podr&aacute;s conectar todos tus dispositivos sin los molestos cables y enredos. ",in stock,new,259.00 EUR,259.00 EUR,https://images.samsung.com/is/image/samsung/es-vg-socm15-optical-cable-vg-socm15-xc-frontgray-65780567?$ORIGIN_PNG$,8806088815602,Productos | Accesorios | Accesorios television | Accesorios | Accesorios television,Samsung,https://shop.samsung.com/es/TV-AUDIO/CTV%3AColorTV/Cable-%C3%93ptico-Casi-Invisible-de-15-metros/p/VG-SOCM15/XC
MB-MC32GA/EU,EVO Plus Tarjeta microSD 32GB ,"Te presentamos las tarjetas de memoria con mayor capacidad y velocidad de lectura de su clase, id&oacute;neas para v&iacute;deos 4K UHD. Mant&eacute;n tus recuerdos siempre a salvo con el rendimiento y fiabilidad de las tarjetas EVO Plus. ",out of stock,new,10.99 EUR,10.99 EUR,https://images.samsung.com/is/image/samsung/es-evo-plus-microsd-card-with-sd-adapter-95-mb-mc32ga-eu-frontred-66324395?$ORIGIN_PNG$,8806088676562,Productos | Informatica | Almacenamiento | Tarjetas de memoria | Informatica | Almacenamiento | Tarjetas de memoria,Samsung,https://shop.samsung.com/es/Productos/IT/Almacenamiento/Tarjetas-de-memoria/EVO-Plus-Tarjeta-microSD-32GB/p/MB-MC32GA/EU
MC28M6055CS/EC,Hornos-microondas de convecci&oacute;n 28L 900W/Grill 1500W/2100W Plateado MC28M6055CS,"Gracias a la tecnolog&iacute;a HOTBLAST&trade;, pasar&aacute;s menos tiempo en la cocina. Su potente sistema de difusi&oacute;n de aire caliente incide directamente en los alimentos acelerando el tiempo de cocci&oacute;n. Consigue platos crujientes por fuera y muy sabrosos por dentro.",in stock,new,239.00 EUR,239.00 EUR,https://images.samsung.com/is/image/samsung/es-microwave-mc28m6055csec-mc28m6055cs-ec-frontsilver-66833350?$ORIGIN_PNG$,8806088838571,Productos | Electrodomesticos | Hornos - Microondas | Electrodomesticos | Hornos - Microondas | Productos | Electrodomesticos | Cocina | Hornos - Microondas | Electrodomesticos | Cocina | Hornos - Microondas,Samsung,https://shop.samsung.com/es/Productos/Electrodom%C3%A9sticos/Hornos---Microondas/Hornos-microondas-de-convecci%C3%B3n-MC28M6055CS/p/MC28M6055CS/EC
VG-SGSM11S/XC,Soporte de televisor Peana Samsung Tower VG-SGSM11S,"El soporte Samsung Tower Stand ha sido fabricado para que destaque all&aacute; donde lo coloques. Su dise&ntilde;o totalmente met&aacute;lico y circular encajar&aacute; a la perfecci&oacute;n con tu televisor, dando al mismo tiempo un aspecto acogedor y brillante a tu sal&oacute;n.",in stock,new,799.00 EUR,799.00 EUR,https://images.samsung.com/is/image/samsung/es-gravity-stand-vg-sgsm11s-vg-sgsm11s-xc-frontsilver-69534519?$ORIGIN_PNG$,8806088826479,Productos | Accesorios | Accesorios television | Accesorios | Accesorios television,Samsung,https://shop.samsung.com/es/Productos/Accesorios/Accesorios-televisi%C3%B3n/Soporte-de-televisor-Peana-Samsung-Tower-VG-SGSM11S/p/VG-SGSM11S/XC
SK-DA,Kit de uni&oacute;n lavadora y secadora de uso dom&eacute;stico,,in stock,new,15.00 EUR,15.00 EUR,,8806071054285,Productos | Accesorios | Accesorios electrodomesticos | Acc lavadoras | Accesorios | Accesorios electrodomesticos | Acc lavadoras,Samsung,https://shop.samsung.com/es/Productos/Accesorios/Accesorios-electrodom%C3%A9sticos/Acc-lavadoras/Kit-de-uni%C3%B3n-lavadora-y-secadora-de-uso-dom%C3%A9stico/p/SK-DA
SK-DH,Kit de uni&oacute;n lavadora y secadora,"Tus opiniones sobre este producto pueden ayudarnos mucho, y tambi&eacute;n pueden ser &uacute;tiles para cualquier persona que se plantee comprar uno.",in stock,new,15.00 EUR,15.00 EUR,https://images.samsung.com/is/image/samsung/es-washing-machines-stacking-kit-sk-dh-sk-dh-001-front-silver?$ORIGIN_PNG$,8806071037578,Productos | Accesorios | Accesorios electrodomesticos | Acc lavadoras | Accesorios | Accesorios electrodomesticos | Acc lavadoras,Samsung,https://shop.samsung.com/es/Productos/Accesorios/Accesorios-electrodom%C3%A9sticos/Acc-lavadoras/Kit-de-uni%C3%B3n-lavadora-y-secadora/p/SK-DH
SKK-DD,Kit de uni&oacute;n lavadora y secadora SKK-DD,,preorder,new,59.00 EUR,59.00 EUR,https://images.samsung.com/is/image/samsung/es-kit-skk-dd-skk-dd-front-75408225?$ORIGIN_PNG$,8806088662923,Productos | Accesorios | Accesorios electrodomesticos | Accesorios | Accesorios electrodomesticos,Samsung,https://shop.samsung.com/es/ELECTRODOM%C3%89STICOS/WM%3AWashingMachine/Kit-de-uni%C3%B3n-lavadora-y-secadora-SKK-DD/p/SKK-DD
MU-PA500B/EU,Portable SSD T5 SATA 500GB,"El nuevo SSD port&aacute;til T5 lleva la velocidad de transferencia a un nuevo nivel y aporta una nueva experiencia en el almacenamiento externo. Con un dise&ntilde;o compacto y duradero y una protecci&oacute;n de cifrado con contrase&ntilde;a, el T5 es muy f&aacute;cil de llevar y adem&aacute;s, es seguro.",in stock,new,103.99 EUR,103.99 EUR,https://images.samsung.com/is/image/samsung/es-portable-ssd-t5-mu-pa500b-eu-frontblue-96007461?$ORIGIN_PNG$,8806088888514,Productos | Informatica | Almacenamiento | SSD Portatil | Informatica | Almacenamiento | SSD Portatil,Samsung,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/Portable-SSD-T5-SATA-500GB/p/MU-PA500B/EU
DW60M6050FW/EC,Lavavajillas Clasificaci&oacute;n Energ&eacute;tica E Serie 6 de 14 cubiertos Blanco DW60M6050FW,"Una forma m&aacute;s sencilla  e intuitiva de limpiar tus platos gracias a un gran display LED muy sencillo de leer. Comprobar&aacute;s el estado, ajustes, tiempo restante y progreso del ciclo de un vistazo. Controla tu lavavajillas f&aacute;cilmente.",in stock,new,529.00 EUR,396.75 EUR,https://images.samsung.com/is/image/samsung/es-dishwasher-dw60m6050fw-dw60m6050fw-ec-white-White-249373815?$ORIGIN_PNG$,8806088927114,Productos | Electrodomesticos | Lavavajillas | Lavavajillas Estandar | Electrodomesticos | Lavavajillas | Lavavajillas Estandar,Samsung,https://shop.samsung.com/es/ELECTRODOM%C3%89STICOS/WM%3AWashingMachine/Lavavajillas-Clasificaci%C3%B3n-Energ%C3%A9tica-E-Serie-6-de-14-cubiertos-Blanco-DW60M6050FW/p/DW60M6050FW/EC
DW60M6050FS/EC,Lavavajillas Clasificaci&oacute;n Energ&eacute;tica E Serie 6 de 14 cubiertos Inox DW60M6050FS,"Una forma m&aacute;s sencilla e intuitiva de limpiar tus platos gracias a un gran display LED muy sencillo de leer. Comprobar&aacute;s el estado, ajustes, tiempo restante y progreso del ciclo de un vistazo. Controla tu lavavajillas f&aacute;cilmente.",preorder,new,579.00 EUR,579.00 EUR,https://images.samsung.com/is/image/samsung/es-dishwasher-dw60m6050fs-dw60m6050fs-ec-silver-Silver-249363293?$ORIGIN_PNG$,8806088927107,Productos | Electrodomesticos | Lavavajillas | Lavavajillas Estandar | Electrodomesticos | Lavavajillas | Lavavajillas Estandar,Samsung,https://shop.samsung.com/es/ELECTRODOM%C3%89STICOS/WM%3AWashingMachine/Lavavajillas-Serie-6-de-14-cubiertos-DW60M6050FS/p/DW60M6050FS/EC
DW60M6040FW/EC,Lavavajillas Clasificaci&oacute;n Energ&eacute;tica E Serie 6 de 13 cubiertos Blanco DW60M6040FW,"Una forma m&aacute;s sencilla  e intuitiva de limpiar tus platos gracias a un gran display LED muy sencillo de leer. Comprobar&aacute;s el estado, ajustes, tiempo restante y progreso del ciclo de un vistazo. Controla tu lavavajillas f&aacute;cilmente.",preorder,new,459.00 EUR,459.00 EUR,https://images.samsung.com/is/image/samsung/es-dishwasher-dw60m6040fw-dw60m6040fw-ec-white-White-249374030?$ORIGIN_PNG$,8806088922980,Productos | Electrodomesticos | Lavavajillas | Lavavajillas Estandar | Electrodomesticos | Lavavajillas | Lavavajillas Estandar,Samsung,https://shop.samsung.com/es/ELECTRODOM%C3%89STICOS/WM%3AWashingMachine/Lavavajillas-Clasificaci%C3%B3n-Energ%C3%A9tica-E-Serie-6-de-13-cubiertos-Blanco-DW60M6040FW/p/DW60M6040FW/EC
MZ-76P256B/EU,SSD 860 PRO SATA 250GB,"Experimenta una fiabilidad l&iacute;der del mercado con la unidad SSD 860 PRO. Dise&ntilde;ado para ordenadores de alta gama, estaciones de trabajo y NAS, la nueva SSD cuenta con la &uacute;ltima tecnolog&iacute;a V-NAND Samsung y un robusto controlador basado en algoritmos, ofreciendo as&iacute; un rendimiento de &uacute;ltima generaci&oacute;n a profesionales creativos, inform&aacute;ticos y gamers.",out of stock,new,100.99 EUR,100.99 EUR,https://images.samsung.com/is/image/samsung/es-860-pro-sata-3-2-5-inch-ssd-mz-76p256b-eu-frontblack-90707619?$ORIGIN_PNG$,8801643120498,Productos | Informatica | Almacenamiento | Discos Solidos SSD | Informatica | Almacenamiento | Discos Solidos SSD,Samsung,https://shop.samsung.com/es/Productos/IT/Almacenamiento/Discos-S%C3%B3lidos-SSD/SSD-860-PRO-SATA-1TB/p/MZ-76P256B/EU
MZ-76P512B/EU,SSD 860 PRO SATA 500GB,"Experimenta una fiabilidad l&iacute;der del mercado con la unidad SSD 860 PRO. Dise&ntilde;ado para ordenadores de alta gama, estaciones de trabajo y NAS, la nueva SSD cuenta con la &uacute;ltima tecnolog&iacute;a V-NAND Samsung y un robusto controlador basado en algoritmos, ofreciendo as&iacute; un rendimiento de &uacute;ltima generaci&oacute;n a profesionales creativos, inform&aacute;ticos y gamers.",out of stock,new,131.99 EUR,131.99 EUR,https://images.samsung.com/is/image/samsung/es-860-pro-sata-3-2-5-inch-ssd-mz-76p512b-eu-frontblack-90707704?$ORIGIN_PNG$,8801643119072,Productos | Informatica | Almacenamiento | Discos Solidos SSD | Informatica | Almacenamiento | Discos Solidos SSD,Samsung,https://shop.samsung.com/es/Productos/IT/Almacenamiento/Discos-S%C3%B3lidos-SSD/SSD-860-PRO-SATA-1TB/p/MZ-76P512B/EU
MZ-76E1T0B/EU,SSD 860 EVO SATA 1TB ,"Te presentamos la nueva versi&oacute;n del SSD SATA l&iacute;der de ventas, el Samsung 860 EVO. Dise&ntilde;ado para ordenadores y port&aacute;tiles de alta gama, el nuevo SSD cuenta con la &uacute;ltima tecnolog&iacute;a V-NAND Samsung y un robusto controlador basado en algoritmos, y est&aacute; disponible en distintos formatos y capacidades.",out of stock,new,172.99 EUR,172.99 EUR,https://images.samsung.com/is/image/samsung/es-860-evo-sata-3-2-5-ssd-mz-76e1t0b-eu-frontblack-273732078?$ORIGIN_PNG$,8806088934884,Productos | Informatica | Almacenamiento | Discos Solidos SSD | Informatica | Almacenamiento | Discos Solidos SSD,Samsung,https://shop.samsung.com/es/Productos/IT/Almacenamiento/Discos-S%C3%B3lidos-SSD/SSD-860-EVO-SATA-1TB/p/MZ-76E1T0B/EU
MZ-76E250B/EU,SSD 860 EVO SATA 250GB ,"Te presentamos la nueva versi&oacute;n del SSD SATA l&iacute;der de ventas, el Samsung 860 EVO. Dise&ntilde;ado para ordenadores y port&aacute;tiles de alta gama, el nuevo SSD cuenta con la &uacute;ltima tecnolog&iacute;a V-NAND Samsung y un robusto controlador basado en algoritmos, y est&aacute; disponible en distintos formatos y capacidades.",out of stock,new,55.99 EUR,55.99 EUR,https://images.samsung.com/is/image/samsung/es-860-evo-sata-3-2-5-ssd-mz-76e250b-eu-frontblack-273732098?$ORIGIN_PNG$,8806088933986,Productos | Informatica | Almacenamiento | Discos Solidos SSD | Informatica | Almacenamiento | Discos Solidos SSD,Samsung,https://shop.samsung.com/es/Productos/IT/Almacenamiento/Discos-S%C3%B3lidos-SSD/SSD-860-EVO-SATA-1TB/p/MZ-76E250B/EU
MZ-76E500B/EU,SSD 860 EVO SATA 500GB ,"Te presentamos la nueva versi&oacute;n del SSD SATA l&iacute;der de ventas, el Samsung 860 EVO. Dise&ntilde;ado para ordenadores y port&aacute;tiles de alta gama, el nuevo SSD cuenta con la &uacute;ltima tecnolog&iacute;a V-NAND Samsung y un robusto controlador basado en algoritmos, y est&aacute; disponible en distintos formatos y capacidades.",out of stock,new,90.99 EUR,90.99 EUR,https://images.samsung.com/is/image/samsung/es-860-evo-sata-3-2-5-ssd-mz-76e500b-eu-frontblack-273732119?$ORIGIN_PNG$,8806088936017,Productos | Informatica | Almacenamiento | Discos Solidos SSD | Informatica | Almacenamiento | Discos Solidos SSD,Samsung,https://shop.samsung.com/es/Productos/IT/Almacenamiento/Discos-S%C3%B3lidos-SSD/SSD-860-EVO-SATA-1TB/p/MZ-76E500B/EU
MU-PA2T0B/EU,Portable SSD T5 SATA 2TB,"El nuevo SSD port&aacute;til T5 lleva la velocidad de transferencia a un nuevo nivel y aporta una nueva experiencia en el almacenamiento externo. Con un dise&ntilde;o compacto y duradero y una protecci&oacute;n de cifrado con contrase&ntilde;a, el T5 es muy f&aacute;cil de llevar y adem&aacute;s, es seguro.",in stock,new,279.99 EUR,279.99 EUR,https://images.samsung.com/is/image/samsung/es-portable-ssd-t5-mu-pa2t0b-eu-frontblack-96007433?$ORIGIN_PNG$,8806088886992,Productos | Informatica | Almacenamiento | SSD Portatil | Informatica | Almacenamiento | SSD Portatil,Samsung,https://shop.samsung.com/es/Productos/IT/Almacenamiento/SSD-Port%C3%A1til/Portable-SSD-T5-1TB/p/MU-PA2T0B/EU
MU-PA1T0B/EU,Portable SSD T5 SATA 1TB,"El nuevo SSD port&aacute;til T5 lleva la velocidad de transferencia a un nuevo nivel y aporta una nueva experiencia en el almacenamiento externo. Con un dise&ntilde;o compacto y duradero y una protecci&oacute;n de cifrado con contrase&ntilde;a, el T5 es muy f&aacute;cil de llevar y adem&aacute;s, es seguro.",in stock,new,156.99 EUR,156.99 EUR,https://images.samsung.com/is/image/samsung/es-portable-ssd-t5-mu-pa1t0b-eu-frontblack-96007381?$ORIGIN_PNG$,8806088887036,Productos | Informatica | Almacenamiento | SSD Portatil | Informatica | Almacenamiento | SSD Portatil,Samsung,https://shop.samsung.com/es/Productos/IT/Almacenamiento/SSD-Port%C3%A1til/Portable-SSD-T5-1TB/p/MU-PA1T0B/EU
MB-MJ128GA/EU,MicroSD 128GB + adaptador PRO ENDURANCE,"Despreoc&uacute;pate de la grabaci&oacute;n permanente. Samsung PRO Endurance captura los momentos esenciales, ofrece el rendimiento de mayor duraci&oacute;n de sector para control de v&iacute;deo de alta resoluci&oacute;n, incluso condiciones duras.",in stock,new,44.00 EUR,44.00 EUR,https://images.samsung.com/is/image/samsung/es-microsd-con-adaptador-mb-mj-mb-mj128ga-eu-frontblack-248977525?$ORIGIN_PNG$,8801643193607,Productos | Informatica | Almacenamiento | Tarjetas de memoria | Informatica | Almacenamiento | Tarjetas de memoria,Samsung,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/MicroSD-128GB-%2B-adaptador-PRO-ENDURANCE/p/MB-MJ128GA/EU
MB-MJ32GA/EU,MicroSD 32GB + adaptador PRO ENDURANCE,"Despreoc&uacute;pate de la grabaci&oacute;n permanente. Samsung PRO Endurance captura los momentos esenciales, ofrece el rendimiento de mayor duraci&oacute;n de sector para control de v&iacute;deo de alta resoluci&oacute;n, incluso condiciones duras.",out of stock,new,16.99 EUR,16.99 EUR,https://images.samsung.com/is/image/samsung/es-microsd-con-adaptador-mb-mj-mb-mj32ga-eu-frontblack-248977541?$ORIGIN_PNG$,8801643193546,Productos | Informatica | Almacenamiento | Tarjetas de memoria | Informatica | Almacenamiento | Tarjetas de memoria,Samsung,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/MicroSD-128GB-%2B-adaptador-PRO-ENDURANCE/p/MB-MJ32GA/EU
MB-MJ64GA/EU,MicroSD 64GB + adaptador PRO ENDURANCE,"Despreoc&uacute;pate de la grabaci&oacute;n permanente. Samsung PRO Endurance captura los momentos esenciales, ofrece el rendimiento de mayor duraci&oacute;n de sector para control de v&iacute;deo de alta resoluci&oacute;n, incluso condiciones duras.",out of stock,new,24.99 EUR,24.99 EUR,https://images.samsung.com/is/image/samsung/es-microsd-con-adaptador-mb-mj-mb-mj64ga-eu-frontblack-248977556?$ORIGIN_PNG$,8801643193591,Productos | Informatica | Almacenamiento | Tarjetas de memoria | Informatica | Almacenamiento | Tarjetas de memoria,Samsung,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/MicroSD-128GB-%2B-adaptador-PRO-ENDURANCE/p/MB-MJ64GA/EU
MG23J5133AK/EC,Horno-microondas 23L 800W/Grill 1100W Negro MG23J5133AK,"La funci&oacute;n de calentamiento mantiene la comida a la temperatura adecuada sin cocinarla demasiado. As&iacute; conservar&aacute; todo el sabor y la textura y estar&aacute; siempre deliciosa, como reci&eacute;n cocinada, y lista para servir.",preorder,new,115.00 EUR,115.00 EUR,https://images.samsung.com/is/image/samsung/es-microondas-mg23j5133ak-mg23j5133ak-ec-frontblack-107805914?$ORIGIN_PNG$,8801643399221,Productos | Electrodomesticos | Hornos - Microondas | Electrodomesticos | Hornos - Microondas | Productos | Electrodomesticos | Cocina | Hornos - Microondas | Electrodomesticos | Cocina | Hornos - Microondas,Samsung,https://shop.samsung.com/es/Productos/Electrodom%C3%A9sticos/Hornos---Microondas/Horno-microondas-23L-MG23J5133AK/p/MG23J5133AK/EC
MG23J5133AG/EC,Horno-microondas 23L 800W/Grill 1100W Negro MG23J5133AG,"La funci&oacute;n de calentamiento mantiene la comida a la temperatura adecuada sin cocinarla demasiado. As&iacute; conservar&aacute; todo el sabor y la textura y estar&aacute; siempre deliciosa, como reci&eacute;n cocinada, y lista para servir.",preorder,new,125.01 EUR,106.25 EUR,https://images.samsung.com/is/image/samsung/es-microondas-mg23j5133ag-mg23j5133ag-ec-frontsilver-111110610?$ORIGIN_PNG$,8801643399214,Productos | Electrodomesticos | Hornos - Microondas | Electrodomesticos | Hornos - Microondas | Productos | Electrodomesticos | Cocina | Hornos - Microondas | Electrodomesticos | Cocina | Hornos - Microondas,Samsung,https://shop.samsung.com/es/Productos/Electrodom%C3%A9sticos/Hornos---Microondas/Horno-microondas-23L-MG23J5133AG/p/MG23J5133AG/EC
MU-PB1T0B/EU,SSD X5 1TB,"Gracias a la conexi&oacute;n Thunderbolt&trade; 3*, las tareas de almacenamiento en tu PC o Mac alcanzar&aacute;n cotas inimaginables hasta la fecha. Nuestro nuevo SSD port&aacute;til X5 ha sido dise&ntilde;ado pensando en aquellos profesionales que necesitan renderizar o compilar contenido en alta resoluci&oacute;n de forma m&aacute;s r&aacute;pida. Adem&aacute;s gracias a su gestor de temperatura y protecci&oacute;n por contrase&ntilde;a, disfrutar&aacute;s de un plus de confort y seguridad.",out of stock,new,367.99 EUR,367.99 EUR,https://images.samsung.com/is/image/samsung/es-portable-ssd-x5-mu-pb1t0b-eu-frontgray-116453811?$ORIGIN_PNG$,8801643347512,Productos | Informatica | Almacenamiento | SSD Portatil | Informatica | Almacenamiento | SSD Portatil,Samsung,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/Portable-SSD-X5/p/MU-PB1T0B/EU
MU-PB2T0B/EU,SSD X5 2TB,"Gracias a la conexi&oacute;n Thunderbolt&trade; 3*, las tareas de almacenamiento en tu PC o Mac alcanzar&aacute;n cotas inimaginables hasta la fecha. Nuestro nuevo SSD port&aacute;til X5 ha sido dise&ntilde;ado pensando en aquellos profesionales que necesitan renderizar o compilar contenido en alta resoluci&oacute;n de forma m&aacute;s r&aacute;pida. Adem&aacute;s gracias a su gestor de temperatura y protecci&oacute;n por contrase&ntilde;a, disfrutar&aacute;s de un plus de confort y seguridad.",out of stock,new,607.99 EUR,607.99 EUR,https://images.samsung.com/is/image/samsung/es-portable-ssd-x5-mu-pb2t0b-eu-frontgray-116453847?$ORIGIN_PNG$,8801643347499,Productos | Informatica | Almacenamiento | SSD Portatil | Informatica | Almacenamiento | SSD Portatil,Samsung,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/Portable-SSD-X5/p/MU-PB2T0B/EU
