Id,Link
MU-PA500B/EU,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/Portable-SSD-T5-SATA-500GB/p/MU-PA500B/EU
DW60M6050FW/EC,https://shop.samsung.com/es/ELECTRODOM%C3%89STICOS/WM%3AWashingMachine/Lavavajillas-Clasificaci%C3%B3n-Energ%C3%A9tica-E-Serie-6-de-14-cubiertos-Blanco-DW60M6050FW/p/DW60M6050FW/EC
DW60M6050FS/EC,https://shop.samsung.com/es/ELECTRODOM%C3%89STICOS/WM%3AWashingMachine/Lavavajillas-Serie-6-de-14-cubiertos-DW60M6050FS/p/DW60M6050FS/EC
DW60M6040FW/EC,https://shop.samsung.com/es/ELECTRODOM%C3%89STICOS/WM%3AWashingMachine/Lavavajillas-Clasificaci%C3%B3n-Energ%C3%A9tica-E-Serie-6-de-13-cubiertos-Blanco-DW60M6040FW/p/DW60M6040FW/EC
MZ-76P256B/EU,https://shop.samsung.com/es/Productos/IT/Almacenamiento/Discos-S%C3%B3lidos-SSD/SSD-860-PRO-SATA-1TB/p/MZ-76P256B/EU
MZ-76P512B/EU,https://shop.samsung.com/es/Productos/IT/Almacenamiento/Discos-S%C3%B3lidos-SSD/SSD-860-PRO-SATA-1TB/p/MZ-76P512B/EU
MZ-76E1T0B/EU,https://shop.samsung.com/es/Productos/IT/Almacenamiento/Discos-S%C3%B3lidos-SSD/SSD-860-EVO-SATA-1TB/p/MZ-76E1T0B/EU
MZ-76E250B/EU,https://shop.samsung.com/es/Productos/IT/Almacenamiento/Discos-S%C3%B3lidos-SSD/SSD-860-EVO-SATA-1TB/p/MZ-76E250B/EU
MZ-76E500B/EU,https://shop.samsung.com/es/Productos/IT/Almacenamiento/Discos-S%C3%B3lidos-SSD/SSD-860-EVO-SATA-1TB/p/MZ-76E500B/EU
MU-PA2T0B/EU,https://shop.samsung.com/es/Productos/IT/Almacenamiento/SSD-Port%C3%A1til/Portable-SSD-T5-1TB/p/MU-PA2T0B/EU
MU-PA1T0B/EU,https://shop.samsung.com/es/Productos/IT/Almacenamiento/SSD-Port%C3%A1til/Portable-SSD-T5-1TB/p/MU-PA1T0B/EU
MB-MJ128GA/EU,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/MicroSD-128GB-%2B-adaptador-PRO-ENDURANCE/p/MB-MJ128GA/EU
MB-MJ32GA/EU,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/MicroSD-128GB-%2B-adaptador-PRO-ENDURANCE/p/MB-MJ32GA/EU
MB-MJ64GA/EU,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/MicroSD-128GB-%2B-adaptador-PRO-ENDURANCE/p/MB-MJ64GA/EU
MG23J5133AK/EC,https://shop.samsung.com/es/Productos/Electrodom%C3%A9sticos/Hornos---Microondas/Horno-microondas-23L-MG23J5133AK/p/MG23J5133AK/EC
MG23J5133AG/EC,https://shop.samsung.com/es/Productos/Electrodom%C3%A9sticos/Hornos---Microondas/Horno-microondas-23L-MG23J5133AG/p/MG23J5133AG/EC
MU-PB1T0B/EU,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/Portable-SSD-X5/p/MU-PB1T0B/EU
MU-PB2T0B/EU,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/Portable-SSD-X5/p/MU-PB2T0B/EU
MU-PB500B/EU,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/Portable-SSD-X5/p/MU-PB500B/EU
VG-SCFN49BM/XC,https://shop.samsung.com/es/TV-AUDIO/CTV%3AColorTV/Marco-THE-FRAME-49%E2%80%9D/p/VG-SCFN49BM/XC
EB-U1200CSEGWW,https://shop.samsung.com/es/DISPOSITIVOS-M%C3%93VILES/Mobile-Phone/Wireless-Battery-Pack/p/EB-U1200CSEGWW
VG-SCFN49DP/XC,https://shop.samsung.com/es/TV-AUDIO/CTV%3AColorTV/Marco-THE-FRAME-49%E2%80%9D/p/VG-SCFN49DP/XC
NK36N9804VB/UR,https://shop.samsung.com/es/ELECTRODOM%C3%89STICOS/MWO%3AMicroWaveOven/Campana-Extractora-Decorativa-Inclinada-negra-con-SmartThings-NK36N9804VB/p/NK36N9804VB/UR
MG22M8074CT/EC,https://shop.samsung.com/es/ELECTRODOM%C3%89STICOS/MWO%3AMicroWaveOven/Microondas-de-Integraci%C3%B3n-22L-850W-Inox-MG22M8074CT/p/MG22M8074CT/EC
MG22M8054AK/EC,https://shop.samsung.com/es/ELECTRODOM%C3%89STICOS/MWO%3AMicroWaveOven/Microondas-de-Integraci%C3%B3n-22L-850W-Negro-MG22M8054AK/p/MG22M8054AK/EC
NZ63R3727AK/EC,https://shop.samsung.com/es/Productos/Electrodom%C3%A9sticos/Cocina/Vitrocer%C3%A1micas/Placa-de-Inducci%C3%B3n-3-Fuegos-NZ63R3727AK/p/NZ63R3727AK/EC
SMC-ES-MOB-3,https://shop.samsung.com/es/Samsung-Care%2B/Samsung-Care%2B-%282-a%C3%B1os%29/p/SMC-ES-MOB-3
NV68R3370RS/EC,https://shop.samsung.com/es/Productos/Electrodom%C3%A9sticos/Cocina/Hornos/Horno-Dual-Fan-68L-Pirol%C3%ADtico-NV68R3370RS/p/NV68R3370RS/EC
NV75K5571RS/EC,https://shop.samsung.com/es/Productos/Electrodom%C3%A9sticos/Cocina/Hornos/Horno-Dual-Cook-75L-Pirol%C3%ADtico-NV75K5571RS/p/NV75K5571RS/EC
NV75N7677RS/EC,https://shop.samsung.com/es/Productos/Electrodom%C3%A9sticos/Cocina/Hornos/Horno-Dual-Cook-Flex-75L-Pirol%C3%ADtico-con-SmartThings-NV75N7677RS/p/NV75N7677RS/EC
NK36M5060SS/UR,https://shop.samsung.com/es/Productos/Electrodom%C3%A9sticos/Cocina/Campanas/Campana-Extractora-Decorativa-acero-inoxidable-NK36M5060SS/p/NK36M5060SS/UR
EP-TA800XWEGWW,https://shop.samsung.com/es/DISPOSITIVOS-M%C3%93VILES/Mobile-Phone/Wall-Charger-for-Super-Fast-Charging-%2825W%29/p/EP-TA800XWEGWW
SM-R830NZDAPHE,https://shop.samsung.com/es/DISPOSITIVOS-M%C3%93VILES/Mobile-Phone/Samsung-Galaxy-Watch-Active2/p/SM-R830NZDAPHE
EP-N5105TBEGWW,https://shop.samsung.com/es/DISPOSITIVOS-M%C3%93VILES/Mobile-Phone/Wireless-Charger-Stand-2019/p/EP-N5105TBEGWW
EP-TA800XBEGWW,https://shop.samsung.com/es/DISPOSITIVOS-M%C3%93VILES/Mobile-Phone/Wall-Charger-for-Super-Fast-Charging-%2825W%29/p/EP-TA800XBEGWW
EP-TA845XWEGWW,https://shop.samsung.com/es/DISPOSITIVOS-M%C3%93VILES/Mobile-Phone/PD-45W-Wall-Charger/p/EP-TA845XWEGWW
NZ64R9787GK/EC,https://shop.samsung.com/es/Productos/Electrodom%C3%A9sticos/Cocina/Vitrocer%C3%A1micas/Placa-de-Inducci%C3%B3n-Dual-Flex-Zone-Plus-con-Wi-Fi-NZ64R9787GK/p/NZ64R9787GK/EC
UE24N4305AKXXC,https://shop.samsung.com/es/Productos/TV-Audio/Televisores/Full-HD-HD/Televisor-HD-80cm-24%22-Smart-TV-Serie-N4305/p/UE24N4305AKXXC
EP-TA20EBECGWW,https://shop.samsung.com/es/Productos/Accesorios/Accesorios-smartphones/Cargadores-y-Bater%C3%ADas/Wall-Charger-%2815W%29/p/EP-TA20EBECGWW
EP-DA705BBEGWW,https://shop.samsung.com/es/DISPOSITIVOS-M%C3%93VILES/Mobile-Phone/Cable-USB-Tipo-C/p/EP-DA705BBEGWW
EP-L1100NBEGWW,https://shop.samsung.com/es/DISPOSITIVOS-M%C3%93VILES/Mobile-Phone/Car-Charger-Duo/p/EP-L1100NBEGWW
RB37J500MWW/EF,https://shop.samsung.com/es/Productos/Electrodom%C3%A9sticos/Frigor%C3%ADficos/Combis-2-metros/Frigor%C3%ADfico-Combi-Blanco-2M-A%2B%2B%2B-RB37J500MWW/p/RB37J500MWW/EF
EP-DG930IBEGWW,https://shop.samsung.com/es/DISPOSITIVOS-M%C3%93VILES/Mobile-Phone/Cable-Tipo-C-2016/p/EP-DG930IBEGWW
VG-SGSR11S/XC,https://shop.samsung.com/es/Productos/Accesorios/Accesorios-televisi%C3%B3n/Soporte-de-televisor-Peana-Samsung-Tower-2019-VG-SGSR11S/p/VG-SGSR11S/XC
EP-DA705BWEGWW,https://shop.samsung.com/es/DISPOSITIVOS-M%C3%93VILES/Mobile-Phone/Cable-USB-Tipo-C/p/EP-DA705BWEGWW
WMN750M/XC,https://shop.samsung.com/es/Productos/Accesorios/Accesorios-televisi%C3%B3n/Mini-soporte-de-pared-WMN750M-TVS-hasta-2020/p/WMN750M/XC
VG-SOCR15/XC,https://shop.samsung.com/es/Productos/Accesorios/Accesorios-televisi%C3%B3n//p/VG-SOCR15/XC
WMN-M15EA/XC,https://shop.samsung.com/es/TV-AUDIO/CTV%3AColorTV/Soporte-de-pared-%22No-Gap%22-WMN-M15E/p/WMN-M15EA/XC
NK24M5060SS/UR,https://shop.samsung.com/es/Productos/Electrodom%C3%A9sticos/Cocina/Campanas/Campana-Extractora-Decorativa-Acero-Inoxidable-NK24M5060SS/p/NK24M5060SS/UR
RZ32M7535B1/ES,https://shop.samsung.com/es/ELECTRODOM%C3%89STICOS/REF%3ARefrigerator/Congelador-Twin-185-A%2B%2B-315L-RZ32M7535B1/p/RZ32M7535B1/ES
MU-PC500K/WW,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/SSD-T7-Touch-2TB/p/MU-PC500K/WW
MU-PC1T0K/WW,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/SSD-T7-Touch-2TB/p/MU-PC1T0K/WW
RR39M7565WW/ES,https://shop.samsung.com/es/ELECTRODOM%C3%89STICOS/REF%3ARefrigerator/Frigor%C3%ADfico-Twin-Blanco-A%2B%2B-RR39M7565WW/p/RR39M7565WW/ES
RZ32M7535WW/ES,https://shop.samsung.com/es/ELECTRODOM%C3%89STICOS/REF%3ARefrigerator/Congelador-Twin-Blanco-A%2B%2B-RZ32M7535WW/p/RZ32M7535WW/ES
QE43LS01TAUXXC,https://shop.samsung.com/es/TV-AUDIO/CTV%3AColorTV/TV-LS01T-The-Serif-4K-Smart-TV-%282020%29/p/QE43LS01TAUXXC
RR39M7565B1/ES,https://shop.samsung.com/es/ELECTRODOM%C3%89STICOS/REF%3ARefrigerator/Frigor%C3%ADfico-Twin-387L-Grafito-Clasificaci%C3%B3n-Energ%C3%A9tica-E-RR39M7565B1/p/RR39M7565B1/ES
UE32T4305AKXXC,https://shop.samsung.com/es/TV-AUDIO/CTV%3AColorTV/TV-T4305-Full-HD-Smart-TV-%282020%29/p/UE32T4305AKXXC
QE43LS01TBUXXC,https://shop.samsung.com/es/Productos/TV-Audio/Televisores/Serif/TV-LS01T-The-Serif-4K-Smart-TV-%282020%29/p/QE43LS01TBUXXC
SM-P610NZAAPHE,https://shop.samsung.com/es/Productos/Tablets/Galaxy-Tab-S/Galaxy-Tab-S6-Lite-%2810-4%22%2C-Wi-Fi%29-con-S-Pen/p/SM-P610NZAAPHE
SM-P615NZAAPHE,https://shop.samsung.com/es/Productos/Tablets/Galaxy-Tab-S/Galaxy-Tab-S6-Lite-%2810-4%22%2C-4G%29-con-S-Pen/p/SM-P615NZAAPHE
EF-BP610PLEGEU,https://shop.samsung.com/es/Productos/Accesorios/Accesorios-tablets/Book-Cover-Galaxy-Tab-S6-Lite/p/EF-BP610PLEGEU
SM-P615NZBAPHE,https://shop.samsung.com/es/Productos/Tablets/Galaxy-Tab-S/Galaxy-Tab-S6-Lite-%2810-4%22%2C-4G%29-con-S-Pen/p/SM-P615NZBAPHE
EF-BP610PPEGEU,https://shop.samsung.com/es/Productos/Accesorios/Accesorios-tablets/Book-Cover-Galaxy-Tab-S6-Lite/p/EF-BP610PPEGEU
EJ-PP610BJEGEU,https://shop.samsung.com/es/Productos/Accesorios/Accesorios-tablets/S-Pen-Galaxy-Tab-S6-Lite/p/EJ-PP610BJEGEU
HW-Q60T/ZF,https://shop.samsung.com/es/TV-AUDIO/HA%3AHTS/Barra-de-Sonido-Samsung-Q60T-5-1ch-%282020%29/p/HW-Q60T/ZF
MG28F303TAK/EC,https://shop.samsung.com/es/Productos/Electrodom%C3%A9sticos/Hornos---Microondas/Microondas-con-Grill-28L-900W-Negro-MG28F303TAK/p/MG28F303TAK/EC
MG30T5018UW/EC,https://shop.samsung.com/es/Productos/Electrodom%C3%A9sticos/Hornos---Microondas/Microondas-con-Grill-30L-900W-Blanco-MG30T5018UW/p/MG30T5018UW/EC
MU-PC1T0T/WW,https://shop.samsung.com/es/Productos/IT/Almacenamiento/Portable-SSD-T7/p/MU-PC1T0T/WW
MU-PC1T0S/WW,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/Portable-SSD-T7-Touch/p/MU-PC1T0S/WW
MU-PC1T0R/WW,https://shop.samsung.com/es/Productos/IT/Almacenamiento/Portable-SSD-T7/p/MU-PC1T0R/WW
MU-PC2T0T/WW,https://shop.samsung.com/es/Productos/IT/Almacenamiento/Portable-SSD-T7/p/MU-PC2T0T/WW
MU-PC2T0S/WW,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/Portable-SSD-T7-Touch/p/MU-PC2T0S/WW
MU-PC2T0R/WW,https://shop.samsung.com/es/Productos/IT/Almacenamiento/Portable-SSD-T7/p/MU-PC2T0R/WW
MU-PC500T/WW,https://shop.samsung.com/es/Productos/IT/Almacenamiento/Portable-SSD-T7/p/MU-PC500T/WW
MU-PC500S/WW,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/Portable-SSD-T7-Touch/p/MU-PC500S/WW
MU-PC500R/WW,https://shop.samsung.com/es/Productos/IT/Almacenamiento/Portable-SSD-T7/p/MU-PC500R/WW
MU-PC1T0H/WW,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/Portable-SSD-T7/p/MU-PC1T0H/WW
MU-PC2T0H/WW,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/Portable-SSD-T7/p/MU-PC2T0H/WW
MU-PC500H/WW,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/Portable-SSD-T7/p/MU-PC500H/WW
VG-SCFT50WT/XC,https://shop.samsung.com/es/TV-AUDIO/CTV%3AColorTV/Marco-THE-FRAME-50%E2%80%9D/p/VG-SCFT50WT/XC
VG-SCFT32BE/XC,https://shop.samsung.com/es/TV-AUDIO/CTV%3AColorTV/Marco-THE-FRAME-32%E2%80%9D/p/VG-SCFT32BE/XC
VG-SCFT32BL/XC,https://shop.samsung.com/es/TV-AUDIO/CTV%3AColorTV/Marco-THE-FRAME-32%E2%80%9D/p/VG-SCFT32BL/XC
VG-SCFT32BW/XC,https://shop.samsung.com/es/TV-AUDIO/CTV%3AColorTV/Marco-THE-FRAME-32%E2%80%9D/p/VG-SCFT32BW/XC
VG-SCFT75BL/XC,https://shop.samsung.com/es/TV-AUDIO/CTV%3AColorTV/Marco-THE-FRAME-75%E2%80%9D/p/VG-SCFT75BL/XC
VG-SCFT75BW/XC,https://shop.samsung.com/es/TV-AUDIO/CTV%3AColorTV/Marco-THE-FRAME-75%E2%80%9D/p/VG-SCFT75BW/XC
VG-SCFT43BE/XC,https://shop.samsung.com/es/TV-AUDIO/CTV%3AColorTV/Marco-THE-FRAME-43%E2%80%9D-Wengu%C3%A9/p/VG-SCFT43BE/XC
VG-SCFT50BL/XC,https://shop.samsung.com/es/TV-AUDIO/CTV%3AColorTV/Marco-THE-FRAME-50%E2%80%9D/p/VG-SCFT50BL/XC
VG-SCFT50BE/XC,https://shop.samsung.com/es/TV-AUDIO/CTV%3AColorTV/Marco-THE-FRAME-50%E2%80%9D/p/VG-SCFT50BE/XC
VG-SCFT43BL/XC,https://shop.samsung.com/es/TV-AUDIO/CTV%3AColorTV/Marco-THE-FRAME-43%E2%80%9D-Wengu%C3%A9/p/VG-SCFT43BL/XC
VG-SCFT43BW/XC,https://shop.samsung.com/es/TV-AUDIO/CTV%3AColorTV/Marco-THE-FRAME-43%E2%80%9D-Wengu%C3%A9/p/VG-SCFT43BW/XC
VG-SCFT55BL/XC,https://shop.samsung.com/es/TV-AUDIO/CTV%3AColorTV/Marco-THE-FRAME-55%E2%80%9D/p/VG-SCFT55BL/XC
VG-SCFT65BW/XC,https://shop.samsung.com/es/TV-AUDIO/CTV%3AColorTV/Marco-THE-FRAME-65%E2%80%9D/p/VG-SCFT65BW/XC
VG-SCFT50BW/XC,https://shop.samsung.com/es/TV-AUDIO/CTV%3AColorTV/Marco-THE-FRAME-50%E2%80%9D/p/VG-SCFT50BW/XC
VG-SCFT55BW/XC,https://shop.samsung.com/es/TV-AUDIO/CTV%3AColorTV/Marco-THE-FRAME-55%E2%80%9D/p/VG-SCFT55BW/XC
VG-SCFT65BL/XC,https://shop.samsung.com/es/TV-AUDIO/CTV%3AColorTV/Marco-THE-FRAME-65%E2%80%9D/p/VG-SCFT65BL/XC
VG-SCFT43WT/XC,https://shop.samsung.com/es/TV-AUDIO/CTV%3AColorTV/Marco-THE-FRAME-43%E2%80%9D-Wengu%C3%A9/p/VG-SCFT43WT/XC
VG-SCFT32WT/XC,https://shop.samsung.com/es/TV-AUDIO/CTV%3AColorTV/Marco-THE-FRAME-32%E2%80%9D/p/VG-SCFT32WT/XC
HW-T420/ZF,https://shop.samsung.com/es/Productos/TV-Audio/Audio-V%C3%ADdeo/Barras-y-Accesorios-de-Sonido/Barra-de-Sonido-HW-T420-Dolby-Digital-2-1-Bluetooth-%282020%29/p/HW-T420/ZF
HW-T400/ZF,https://shop.samsung.com/es/TV-AUDIO/HA%3AHTS/Barra-de-Sonido-HW-T400-Dolby-Digital-2-0-Bluetooth-%282020%29/p/HW-T400/ZF
MUF-32AB/APC,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/FIT-Titan-Gray-Plus/p/MUF-32AB/APC
MUF-32BE4/APC,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/BAR-Titan-Gray-Plus/p/MUF-32BE4/APC
MZ-77Q1T0BW,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/SSD-870-QVO-SATA-III/p/MZ-77Q1T0BW
MZ-77Q2T0BW,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/SSD-870-QVO-SATA-III/p/MZ-77Q2T0BW
DW50R4070FW/EC,https://shop.samsung.com/es/ELECTRODOM%C3%89STICOS/WM%3AWashingMachine/Lavavajillas-Serie-5-de-10-cubiertos-Blanco-DW50R4070FW/p/DW50R4070FW/EC
MUF-128DB/APC,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/Memoria-USB-Titan-Gray-Plus/p/MUF-128DB/APC
MUF-256BE4/APC,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/BAR-Titan-Gray-Plus/p/MUF-256BE4/APC
MZ-77Q4T0BW,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/SSD-870-QVO-SATA-III/p/MZ-77Q4T0BW
MUF-64AB/APC,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/FIT-Titan-Gray-Plus/p/MUF-64AB/APC
MUF-256DB/APC,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/Memoria-USB-Titan-Gray-Plus/p/MUF-256DB/APC
MZ-77Q8T0BW,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/SSD-870-QVO-SATA-III/p/MZ-77Q8T0BW
MUF-32DB/APC,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/Memoria-USB-Titan-Gray-Plus/p/MUF-32DB/APC
MUF-64BE4/APC,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/BAR-Titan-Gray-Plus/p/MUF-64BE4/APC
MUF-256AB/APC,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/FIT-Titan-Gray-Plus/p/MUF-256AB/APC
MUF-128BE4/APC,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/BAR-Titan-Gray-Plus/p/MUF-128BE4/APC
NZ63R3727BK/UR,https://shop.samsung.com/es/ELECTRODOM%C3%89STICOS/MWO%3AMicroWaveOven/Placa-de-Inducci%C3%B3n-3-Fuegos-NZ63R3727BK/p/NZ63R3727BK/UR
SM-P610NZAEPHE,https://shop.samsung.com/es/Productos/Tablets/Galaxy-Tab-S/Galaxy-Tab-S6-Lite-%2810-4%22%2C-Wi-Fi%29-con-S-Pen/p/SM-P610NZAEPHE
SM-P615NZAEPHE,https://shop.samsung.com/es/Productos/Tablets/Galaxy-Tab-S/Galaxy-Tab-S6-Lite-%2810-4%22%2C-4G%29-con-S-Pen/p/SM-P615NZAEPHE
NV75N5671RS/EC,https://shop.samsung.com/es/ELECTRODOM%C3%89STICOS/MWO%3AMicroWaveOven/Horno-Pirol%C3%ADtico-Dual-Cook-Flex-75L-NV75N5671RS/p/NV75N5671RS/EC
SMC-ES-MOB-AMU-FOC,https://shop.samsung.com/es/Samsung-Care%2B/Samsung-Care%2B-%282-a%C3%B1os%29/p/SMC-ES-MOB-AMU-FOC
MB-MC512HA/EU,https://shop.samsung.com/es/Productos/IT/Almacenamiento/Tarjetas-de-memoria/EVO-Plus-Tarjeta-microSD-32GB/p/MB-MC512HA/EU
MB-MC128HA/EU,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/EVO-Plus-Tarjeta-microSD/p/MB-MC128HA/EU
MB-MC256HA/EU,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/EVO-Plus-Tarjeta-microSD/p/MB-MC256HA/EU
MB-MC64HA/EU,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/EVO-Plus-Tarjeta-microSD/p/MB-MC64HA/EU
SM-N980FZAGEUB,https://shop.samsung.com/es/Productos/Smartphones/Galaxy-Note20-Series/Galaxy-Note20/p/SM-N980FZAGEUB
EF-DT970BBSGES,https://shop.samsung.com/es/DISPOSITIVOS-M%C3%93VILES/Mobile-Phone/Book-Cover-Keyboard-Galaxy-Tab-S7%2B/p/EF-DT970BBSGES
SM-R840NZKAEUB,https://shop.samsung.com/es/Productos/Wearables/Galaxy-Watch/Galaxy-Watch3-Bluetooth-%2845mm%29/p/SM-R840NZKAEUB
SM-R850NZDAEUB,https://shop.samsung.com/es/Productos/Wearables/Galaxy-Watch/Galaxy-Watch3-Bluetooth-%2841mm%29/p/SM-R850NZDAEUB
EJ-PT870BSEGEU,https://shop.samsung.com/es/Productos/Accesorios/Accesorios-tablets/S-Pen-Tablets/S-Pen-Galaxy-Tab-S7/p/EJ-PT870BSEGEU
SM-T976BZKAEUB,https://shop.samsung.com/es/Productos/Tablets/Galaxy-Tab-S/Galaxy-Tab-S7%2B-%2812-4%E2%80%9D%2C-5G%29-con-S-Pen/p/SM-T976BZKAEUB
EJ-PT870BBEGEU,https://shop.samsung.com/es/Productos/Accesorios/Accesorios-tablets/S-Pen-Tablets/S-Pen-Galaxy-Tab-S7/p/EJ-PT870BBEGEU
SM-T875NZKAEUB,https://shop.samsung.com/es/Productos/Tablets/Galaxy-Tab-S/Galaxy-Tab-S7-%2811-0%22%2C-4G%29-con-S-Pen/p/SM-T875NZKAEUB
SM-R180NZWAEUB,https://shop.samsung.com/es/DISPOSITIVOS-M%C3%93VILES/Mobile-Phone/Galaxy-Buds-Live/p/SM-R180NZWAEUB
EP-N3300TBEGEU,https://shop.samsung.com/es/DISPOSITIVOS-M%C3%93VILES/Mobile-Phone/Wireless-Charger-Convertible-%282020%29/p/EP-N3300TBEGEU
EP-N3300TWEGEU,https://shop.samsung.com/es/DISPOSITIVOS-M%C3%93VILES/Mobile-Phone/Wireless-Charger-Convertible-%282020%29/p/EP-N3300TWEGEU
SM-G781BZBDEUB,https://shop.samsung.com/es/DISPOSITIVOS-M%C3%93VILES/Mobile-Phone/Galaxy-S20-FE-5G/p/SM-G781BZBDEUB
RB38T655DS9/EF,https://shop.samsung.com/es/ELECTRODOM%C3%89STICOS/REF%3ARefrigerator/Frigor%C3%ADfico-Combi-385L-RB38T655DS9-Premium-Inox-%282020%29/p/RB38T655DS9/EF
RB38T675CS9/EF,https://shop.samsung.com/es/ELECTRODOM%C3%89STICOS/REF%3ARefrigerator/Frigor%C3%ADfico-Combi-385L-RB38T675CS9-Premium-Inox-%282020%29/p/RB38T675CS9/EF
