,Id,Title,Description,Item_Group_Id,Availability,Condition,Price,Sale_Price,Image_Link,Gtin,Product_Type,Brand,Link,category,TrackingId
12,VG-SGSM11S/XC,Suporte Tower Stand Samsung Prata,Compre já online a Suporte Tower Stand Samsung. Envio gratuito e entrega até 3 dias.,VG-SGSM11S,in stock,new,699.00 EUR,699.00 EUR,https://images.samsung.com/is/image/samsung/pt-tower-stand-vg-sgsm11s-vg-sgsm11s-xc-frontsilver-104535456?$320_320_PNG$,8806088826479.0,Produtos | Accessories | TV Accessorios,Samsung,<![CDATA[https://ad.doubleclick.net/ddm/clk/506379929;314049148;t?https://www.samsung.com/pt/tv-accessories/tower-stand-vg-sgsm11s-vg-sgsm11s-xc/?cid=pt_pd_social_facebook_suporte-tower-stand-samsung-vg-sgsm11s-xc_ongoing_vd-accessories-automatic-feed_pla_none_none]]>,vd-accessories,cid=pt_pd_social_facebook_tower-stand-vg-sgsm11s-xc_ongoing_vd-accessories-automatic-feed_pla_none_none
14,VCC45W0S36/XEP,Aspirador Samsung Sem Saco AZUL,Compre já online o Aspirador Samsung Sem Saco. Envio gratuito e entrega até 3 dias.,SC45W0,in stock,new,114.89 EUR,114.89 EUR,https://images.samsung.com/is/image/samsung/pt-without-bag-sc45w0-vcc45w0s36-xep-frontblue-97519344?$320_320_PNG$,8801643200909.0,Produtos | Aspirador | Aspirador sem saco | Produtos | Eletrodomesticos | Aspirador | Aspirador sem saco,Samsung,<![CDATA[https://ad.doubleclick.net/ddm/clk/506386778;313905023;l?https://www.samsung.com/pt/vacuum-cleaners/canister/without-bag-vcc45w0s36/?cid=pt_pd_social_facebook_aspirador-samsung-sem-saco-vcc45w0s36-xep_ongoing_da-vacuum-automatic-feed_pla_none_none]]>,da-vacuum,cid=pt_pd_social_facebook_vcc45w0s36-aspirador-sem-saco-vcc45w0s36-xep_ongoing_da-vacuum-automatic-feed_pla_none_none
15,DW60M6040FW/EC,Máquina de Lavar Loiça Samsung  Branco 13 conjuntos,Compre já a Máquina de Lavar Loiça Samsung em Branco e Capacidade para 13 conjuntos. Envio gratuito.,DW60M6040FW,in stock,new,639.90 EUR,549.00 EUR,https://images.samsung.com/is/image/samsung/pt-dishwasher-dw60m6040fw-dw60m6040fw-ec-frontwhite-70664897?$320_320_PNG$,8806088922980.0,Produtos | Maquina de loica | Eficiencia Energetica A++ | Produtos | Eletrodomesticos | Maquina de loica | Eficiencia Energetica A++,Samsung,<![CDATA[https://ad.doubleclick.net/ddm/clk/506671992;314049163;l?https://www.samsung.com/pt/dishwashers/freestanding/13-place-settings-white-dw60m6040fw-ec/?cid=pt_pd_social_facebook_maquina-de-lavar-loica-samsung-em-pratreado-e-capacidade-para-13-conjuntos-dw60m6040fw-ec_ongoing_da-dishwasher-automatic-feed_pla_none_none]]>,da-dishwasher,cid=pt_pd_social_facebook_dw60m6040fw-mandaacute;quina-de-lavar-loiandccedil;a-e-dw60m6040fw-ec_ongoing_da-dishwasher-automatic-feed_pla_none_none
16,MG23K3515AS/EC,Micro-Ondas Samsung com Grill 23L Prateado,Compre já o Micro-Ondas Samsung com Grill 23L. Envio grátis.,MG23K3515AS,in stock,new,179.90 EUR,149.90 EUR,https://images.samsung.com/is/image/samsung/pt-microwave-oven-grill-mg23k3515as-mg23k3515as-ec-Silver-196307706?$320_320_PNG$,8806088219677.0,Produtos | Micro-ondas | Micro-ondas com Grill | Produtos | Eletrodomesticos | Micro-ondas | Micro-ondas com Grill | Produtos | Eletrodomesticos | Encastre | Micro-ondas | Micro-ondas com Grill,Samsung,<![CDATA[https://ad.doubleclick.net/ddm/clk/506671947;313932069;q?https://www.samsung.com/pt/microwave-ovens/grill/microwave-oven-grill-mg23k3515as/?cid=pt_pd_social_facebook_micro-ondas-samsung-com-grill-23l-mg23k3515as-ec_ongoing_da-microwave-automatic-feed_pla_none_none]]>,da-microwave,"cid=pt_pd_social_facebook_mg23k3515as-micro-ondas-com-grill,-23l-mg23k3515as-ec_ongoing_da-microwave-automatic-feed_pla_none_none"
17,RT50K6335S9/ES,Frigorífico Samsung com Twin Cooling Plus™ Prateado 500 L,"Compre já o Frigorífico Samsung com Twin Cooling Plus™, 504L. Envio gratuito.",RT50K6335S9,in stock,new,1099.90 EUR,899.00 EUR,https://images.samsung.com/is/image/samsung/pt-top-mount-freezer-rt50k6335s9-rt50k6335s9-es-001-front-silver?$320_320_PNG$,8806088228129.0,Produtos | Frigorificos | Frigorificos Duas Portas | Produtos | Eletrodomesticos | Frigorificos | Frigorificos Duas Portas,Samsung,"<![CDATA[https://ad.doubleclick.net/ddm/clk/506765929;313931802;o?https://www.samsung.com/pt/refrigerators/top-mount-freezer/500l-look-inox-rt50k6335s9-es/?cid=pt_pd_social_facebook_frigorifico-samsung-com-twin-cooling-plus,-504l-rt50k6335s9-es_ongoing_da-refrigerator-automatic-feed_pla_none_none]]>",da-refrigerator,"cid=pt_pd_social_facebook_rt50k6335s9-frigorandiacute;fico-com-twin-cooling-plusandtrade;,-504l-rt50k6335s9-es_ongoing_da-refrigerator-automatic-feed_pla_none_none"
18,VG-SCFM65WM/XC,Moldura Personalizável Samsung VG-SCFM Branca 65 Branco,Compre já online a Moldura Personalizável Samsung VG-SCFM Branca 65. Envio gratuito e entrega até 3 dias.,VG-SCFM65WM,in stock,new,129.99 EUR,129.99 EUR,https://images.samsung.com/is/image/samsung/pt-customizable-frame-vg-scfm65-white-vg-scfm65wm-xc-dynamicwhite-219407719?$320_320_PNG$,8806088885421.0,Produtos | Accessories | TV Accessorios,Samsung,"<![CDATA[https://ad.doubleclick.net/ddm/clk/506671929;313905020;d?https://www.samsung.com/pt/tv-accessories/customizable-frame-vg-scfm65-white-vg-scfm65wm-xc/?cid=pt_pd_social_facebook_moldura-personalizavel-samsung-vg-scfm-branca-65""-vg-scfm65wm-xc_ongoing_vd-accessories-automatic-feed_pla_none_none]]>",vd-accessories,cid=pt_pd_social_facebook_moldura-the-frame-branca-65andquot;-vg-scfm65wm-xc_ongoing_vd-accessories-automatic-feed_pla_none_none
19,VG-SCFN65BM/XC,Moldura The Frame Preta 65”,,VG-SCFN65BM,in stock,new,129.99 EUR,129.99 EUR,https://images.samsung.com/is/image/samsung/pt-customizable-frame-vg-scfm65-black-vg-scfn65bm-xc-dynamicblack-219407816?$320_320_PNG$,8801643276065.0,Produtos | Accessories | TV Accessorios,Samsung,<![CDATA[https://www.samsung.com/pt/tv-accessories/customizable-frame-vg-scfm65-black-vg-scfn65bm-xc/?cid=pt_pd_social_facebook_moldura-the-frame-preta-65-vg-scfn65bm-xc_ongoing_vd-accessories-automatic-feed_pla_none_none]]>,vd-accessories,cid=pt_pd_social_facebook_moldura-the-frame-preta-65andquot;-vg-scfn65bm-xc_ongoing_vd-accessories-automatic-feed_pla_none_none
20,VG-SCFN65DP/XC,Moldura Personalizável Samsung VG-SCFM Castanha 65'' Castanho,Compre já online a Moldura Personalizável Samsung VG-SCFM Castanha 65''. Envio gratuito e entrega até 3 dias.,VG-SCFN65DP,in stock,new,129.99 EUR,129.99 EUR,https://images.samsung.com/is/image/samsung/pt-customizable-frame-vg-scfm65-brown-vg-scfn65dp-xc-dynamicbrown-219408337?$320_320_PNG$,8801643664695.0,Produtos | Accessories | TV Accessorios,Samsung,<![CDATA[https://ad.doubleclick.net/ddm/clk/506671926;313905017;g?https://www.samsung.com/pt/tv-accessories/customizable-frame-vg-scfm65-brown-vg-scfn65dp-xc/?cid=pt_pd_social_facebook_moldura-personalizavel-samsung-vg-scfm-castanha-65-vg-scfn65dp-xc_ongoing_vd-accessories-automatic-feed_pla_none_none]]>,vd-accessories,cid=pt_pd_social_facebook_moldura-the-frame-castanha-65''-vg-scfn65dp-xc_ongoing_vd-accessories-automatic-feed_pla_none_none
21,RZ32M7115S9/ES,Frigorífico Samsung Frigorífico 1 Porta No Frost  Prateado 315 L,"Compre já o Frigorífico Samsung Frigorífico 1 Porta No Frost 323L, F. Envio gratuito.",RZ32M7115S9,in stock,new,944.90 EUR,849.00 EUR,https://images.samsung.com/is/image/samsung/pt-rr7000-rz32m7115s9-es-frontsilver-211149327?$320_320_PNG$,8806088602509.0,Produtos | Frigorificos | Uma Porta | Produtos | Eletrodomesticos | Frigorificos | Uma Porta,Samsung,"<![CDATA[https://ad.doubleclick.net/ddm/clk/506765893;313931793;x?https://www.samsung.com/pt/refrigerators/one-door/315l-stainless-rz32m7115s9-es/?cid=pt_pd_social_facebook_frigorifico-samsung-frigorifico-1-porta-no-frost-323l,-f-rz32m7115s9-es_ongoing_da-refrigerator-automatic-feed_pla_none_none]]>",da-refrigerator,"cid=pt_pd_social_facebook_rz32m7115s9-frigorandiacute;fico-1-porta-no-frost,-323-l,-f-rz32m7115s9-es_ongoing_da-refrigerator-automatic-feed_pla_none_none"
22,WMN-M20EA/XC,Suporte de Parede “No Gap” Samsung  PRETO,Compre já online o Suporte de Parede “No Gap” Samsung . Envio gratuito e entrega até 3 dias.,WMN-M20EA,out of stock,new,179.00 EUR,179.00 EUR,https://images.samsung.com/is/image/samsung/pt-no-gap-wall-mount-wmn-m20e-wmn-m20ea-xc-frontblack-150867066?$320_320_PNG$,8806088807775.0,Produtos | Accessories | TV Accessorios,Samsung,<![CDATA[https://ad.doubleclick.net/ddm/clk/506379932;313932360;j?https://www.samsung.com/pt/tv-accessories/no-gap-wall-mount-wmn-m20e-wmn-m20ea-xc/?cid=pt_pd_social_facebook_suporte-de-parede-no-gap-samsung-wmn-m20ea-xc_ongoing_none-none-automatic-feed_pla_none_none]]>,none-none,cid=pt_pd_social_facebook_suporte-de-parede-andldquo;no-gapandrdquo;-wmn-m20ea-xc_ongoing_none-none-automatic-feed_pla_none_none
23,RR39M7145S9/ES,Frigorífico Samsung Frigorífico 1 Porta No Frost Prateado 385 L,"Compre já o Frigorífico Samsung Frigorífico 1 Porta No Frost, 387L, E. Envio gratuito.",RR39M7145S9,in stock,new,889.91 EUR,799.00 EUR,https://images.samsung.com/is/image/samsung/pt-one-door-rr39m-rr39m7145s9-es-frontsilver-211165603?$320_320_PNG$,8806088602943.0,Produtos | Frigorificos | Uma Porta | Produtos | Eletrodomesticos | Frigorificos | Uma Porta,Samsung,"<![CDATA[https://ad.doubleclick.net/ddm/clk/506765890;313931847;u?https://www.samsung.com/pt/refrigerators/one-door/385l-stainless-rr39m7145s9-es/?cid=pt_pd_social_facebook_frigorifico-samsung-frigorifico-1-porta-no-frost,-387l,-e-rr39m7145s9-es_ongoing_da-refrigerator-automatic-feed_pla_none_none]]>",da-refrigerator,"cid=pt_pd_social_facebook_rr39m7145s9-frigorandiacute;fico-1-porta-no-frost,-387-l,-e-rr39m7145s9-es_ongoing_da-refrigerator-automatic-feed_pla_none_none"
24,VC07M25F0WP/EP,VC07M25F0WP Aspirador com Saco," O design leve do aspirador Samsung VC2500 torna-o fácil de manobrar. Graças  ""à"" sua pot ""ê""ncia sucção permite um elevado nível de limpeza em carpetes, tapetes e pavimentos duros.",VC07M25F0WP,in stock,new,124.89 EUR,104.90 EUR,https://images.samsung.com/is/image/samsung/pt-vc2500m-vc07m25f0wp-ep-frontred-172534666?$320_320_PNG$,8801643975678.0,Produtos | Aspirador | Aspirador com Saco | Produtos | Eletrodomesticos | Aspirador | Aspirador com Saco,Samsung,<![CDATA[https://www.samsung.com/pt/vacuum-cleaners/canister/vc2500m/?cid=pt_pd_social_facebook_vc07m25f0wp-aspirador-com-saco-vc07m25f0wp-ep_ongoing_da-vacuum-automatic-feed_pla_none_none]]>,da-vacuum,cid=pt_pd_social_facebook_vc07m25f0wp-aspirador-com-saco-vc07m25f0wp-ep_ongoing_da-vacuum-automatic-feed_pla_none_none
25,DW60R7050FS/EC,Máquina de Lavar Loiça Samsung  Prateado 14 conjuntos,Compre já a Máquina de Lavar Loiça Samsung em Prateado com Capacidade para 14 Conjuntos. Envio gratuito.,DW60R7050FS,preorder,new,849.91 EUR,679.00 EUR,https://images.samsung.com/is/image/samsung/pt-dw60r7050fs-dw60r7050fs-ec-frontsilver-219762783?$320_320_PNG$,8806090116971.0,Produtos | Maquina de loica | Eficiencia Energetica A+++ | Produtos | Eletrodomesticos | Maquina de loica | Eficiencia Energetica A+++,Samsung,<![CDATA[https://ad.doubleclick.net/ddm/clk/506671995;314049151;l?https://www.samsung.com/pt/dishwashers/freestanding/14-place-settings-stss-dw60r7050fs-ec/?cid=pt_pd_social_facebook_maquina-de-lavar-loica-samsung-em-prateado-com-capacidade-para-14-conjuntos-dw60r7050fs-ec_ongoing_da-dishwasher-automatic-feed_pla_none_none]]>,da-dishwasher,cid=pt_pd_social_facebook_dw60r7050fs-mandaacute;quina-de-lavar-loiandccedil;a-d-dw60r7050fs-ec_ongoing_da-dishwasher-automatic-feed_pla_none_none
26,DW60R7040FW/EC,DW60R7040FW Máquina de Lavar Loiça D,"Graças ao motor Inverter, esta máquina de loiça trabalha de forma mais suave e silenciosa. Conta ainda com o programa “Silencioso“ que lava um pouco mais devagar mas gera menos 2 decibéis de ruído do que o programa ECO**. ",DW60R7040FW,in stock,new,749.89 EUR,599.00 EUR,https://images.samsung.com/is/image/samsung/pt-dw7500rm-dw60r7040fw-ec-frontwhite-217294244?$320_320_PNG$,8806090116902.0,Produtos | Maquina de loica | Eficiencia Energetica A+++ | Produtos | Eletrodomesticos | Maquina de loica | Eficiencia Energetica A+++,Samsung,<![CDATA[https://www.samsung.com/pt/dishwashers/freestanding/13-place-settings-white-dw60r7040fw-ec/?cid=pt_pd_social_facebook_dw60r7040fw-maquina-de-lavar-loica-d-dw60r7040fw-ec_ongoing_da-dishwasher-automatic-feed_pla_none_none]]>,da-dishwasher,cid=pt_pd_social_facebook_dw60r7040fw-mandaacute;quina-de-lavar-loiandccedil;a-d-dw60r7040fw-ec_ongoing_da-dishwasher-automatic-feed_pla_none_none
27,SM-P610NZAAPHE,Galaxy Tab S6 Lite (Wi-Fi) Cinzento 64 GB,"O Galaxy Tab S6 Lite é o seu super companheiro portátil e de confiança para tirar notas. Tem um ecrã grande de 10,4 polegadas num design fino e leve, One UI 2 no sistema operativo Android e uma S Pen incluída e pronta a utilizar. Quer esteja a desenhar, a estudar ou a jogar, este é o tablet perfeito para aproveitar o momento.",SM-P610,in stock,new,399.90 EUR,399.90 EUR,https://images.samsung.com/is/image/samsung/p6pim/pt/sm-p610nzaaphe/gallery/pt-galaxy-tab-s6-lite-p610-396398-sm-p610nzaaphe-471439021?$320_320_PNG$,8806090480898.0,Produtos | Tablets | Galaxy Tab S Series,Samsung,<![CDATA[https://ad.doubleclick.net/ddm/clk/506765737;313929345;u?https://www.samsung.com/pt/tablets/galaxy-tab-s/galaxy-tab-s6-lite-gray-64gb-sm-p610nzaaphe/buy/?cid=pt_pd_social_facebook_galaxy-tab-s6-lite-wi-fi-sm-p610nzaaphe_ongoing_im-tablet-automatic-feed_pla_none_none]]>,im-tablet,cid=pt_pd_social_facebook_galaxy-tab-s6-lite-(wi-fi)-sm-p610nzaaphe_ongoing_im-tablet-automatic-feed_pla_none_none
28,SM-P615NZAEPHE,Galaxy Tab S6 Lite 4G (SM-P615) Cinzento 128 GB,"O Galaxy Tab S6 Lite é o seu super companheiro portátil e de confiança para tirar notas. Tem um ecrã grande de 10,4 polegadas num design fino e leve, One UI 2 no sistema operativo Android e uma S Pen incluída e pronta a utilizar. Quer esteja a desenhar, a estudar ou a jogar, este é o tablet perfeito para aproveitar o momento.",SM-P615,in stock,new,519.90 EUR,519.90 EUR,https://images.samsung.com/is/image/samsung/p6pim/pt/sm-p615nzaephe/gallery/pt-galaxy-tab-s6-lite-p615-396465-sm-p615nzaephe-471530520?$320_320_PNG$,8806090647802.0,Produtos | Tablets | Galaxy Tab S Series,Samsung,<![CDATA[https://ad.doubleclick.net/ddm/clk/506765722;313929330;i?https://www.samsung.com/pt/tablets/galaxy-tab-s/galaxy-tab-s6-lite-gray-128gb-sm-p615nzaephe/buy/?cid=pt_pd_social_facebook_galaxy-tab-s6-lite-4g-sm-p615-sm-p615nzaephe_ongoing_im-tablet-automatic-feed_pla_none_none]]>,im-tablet,cid=pt_pd_social_facebook_galaxy-tab-s6-lite-4g-(sm-p615)-sm-p615nzaephe_ongoing_im-tablet-automatic-feed_pla_none_none
